Date,Order_ID,Item_ID,Quantity_Sold
2021-04-26,8647,2006965311104,1
2021-04-26,8647,2006991312106,1
2021-04-26,8647,0300021131,1
2021-04-26,8648,2008810311109,1
2021-04-26,8649,2009462710104,1
2021-04-26,8649,2007138710106,1
2021-04-26,8649,2007236010108,2
2021-04-26,8649,2009462610107,1
2021-04-26,8649,2007236210102,1
2021-04-26,8649,2007171214104,1
2021-04-26,8649,2006952710101,1
2021-04-26,8649,2007235910102,2
2021-04-26,8649,2007021310109,1
2021-04-26,8650,0300021233,1
2021-04-26,8650,2006952512101,1
2021-04-26,8650,2006952511104,1
2021-04-26,8650,2008084610106,1
2021-04-26,8651,2006952510107,1
2021-04-26,8652,2007237011104,1
2021-04-26,8652,2007235812109,1
2021-04-26,8652,0200041001,1
2021-04-26,8652,2007140613105,1
2021-04-26,8652,2007235813106,1
2021-04-26,8652,0300008362,1
2021-04-26,8652,2006952510107,1
2021-04-26,8652,2006952512101,1
2021-04-26,8652,0200041021,1
2021-04-26,8652,0300008361,1
2021-04-26,8652,2007140615109,1
2021-04-26,8652,2007237910100,1
2021-04-26,8652,2007157310103,1
2021-04-26,8652,2007239711101,1
2021-04-26,8652,2007237911107,1
2021-04-26,8652,2007684310102,1
2021-04-26,8652,2008084110101,1
2021-04-26,8652,2007140712105,1
2021-04-26,8652,2007973910105,1
2021-04-26,8652,0200406010,1
2021-04-26,8653,2008044013107,1
2021-04-26,8653,2008950910101,1
2021-04-26,8653,0800013681,1
2021-04-26,8653,0200027971,1
2021-04-26,8653,2007238711102,1
2021-04-26,8653,2007059913105,1
2021-04-26,8653,2007241110107,1
2021-04-26,8653,2007238712109,1
2021-04-26,8654,2007773710103,1
2021-04-26,8655,2006995714104,1
2021-04-26,8655,0200041001,2
2021-04-26,8655,0300008362,1
2021-04-26,8655,2006952512101,1
2021-04-26,8655,2006952510107,1
2021-04-26,8655,2007235812109,1
2021-04-26,8655,2006995713107,1
2021-04-26,8655,0300008364,1
2021-04-26,8655,2007235810105,1
2021-04-26,8656,0300011552,1
2021-04-26,8656,0300011551,1
2021-04-26,8657,0300008362,1
2021-04-26,8657,2007235811102,1
2021-04-26,8657,2007235812109,1
2021-04-26,8657,2007953310109,1
2021-04-26,8657,2007956710104,1
2021-04-26,8657,2006995713107,2
2021-04-26,8657,2006952510107,1
2021-04-26,8657,2006952512101,1
2021-04-26,8657,2007140611101,1
2021-04-26,8657,2007140613105,1
2021-04-26,8657,2007953810104,1
2021-04-26,8657,2006860410100,1
2021-04-26,8657,0300008361,1
2021-04-26,8657,2006965310107,1
2021-04-26,8657,0200432731,1
2021-04-26,8657,2007958410101,1
2021-04-26,8657,2007954110104,1
2021-04-26,8657,0300011552,6
2021-04-26,8657,2007958510108,1
2021-04-26,8658,2007246510100,2
2021-04-26,8658,2006952710101,1
2021-04-26,8658,2007111810106,1
2021-04-26,8658,2007236614108,1
2021-04-26,8658,2007293612109,1
2021-04-26,8659,2007248310104,1
2021-04-26,8659,2006952511104,1
2021-04-26,8659,2007954310108,1
2021-04-26,8660,2007233814105,1
2021-04-26,8660,2008172313100,1
2021-04-26,8660,2007141810107,1
2021-04-26,8660,0200024461,1
2021-04-26,8660,2008138511106,1
2021-04-26,8660,2007971210108,1
2021-04-26,8660,2007246011102,1
2021-04-26,8660,2007289010100,1
2021-04-26,8660,2007245811109,1
2021-04-26,8660,2007245911106,1
2021-04-26,8661,2007071110100,1
2021-04-26,8661,2006965311104,1
2021-04-26,8661,2006965310107,1
2021-04-26,8661,2007954510102,1
2021-04-26,8662,2006911010105,1
2021-04-26,8662,2006935110102,1
2021-04-26,8662,2006965310107,1
2021-04-26,8662,2006952512101,1
2021-04-26,8662,2006940210101,1
2021-04-26,8662,2007045310109,1
2021-04-26,8662,2007974210105,1
2021-04-26,8662,2007020814103,1
2021-04-26,8663,2007293613106,1
2021-04-26,8663,2007947611106,1
2021-04-26,8663,2007947210101,1
2021-04-26,8663,0200034921,1
2021-04-26,8663,2007145910100,1
2021-04-26,8663,2007293614103,1
2021-04-26,8663,2008141112109,1
2021-04-26,8663,2008085210107,1
2021-04-26,8664,2006965310107,1
2021-04-26,8665,2007049612100,1
2021-04-26,8665,2007069310109,1
2021-04-26,8665,0300016871,1
2021-04-26,8665,2009462610107,1
2021-04-26,8665,2007063111108,1
2021-04-26,8665,2007947610109,1
2021-04-26,8665,2007071110100,1
2021-04-26,8666,2006889810103,1
2021-04-26,8666,2007235815100,1
2021-04-26,8666,2006995713107,1
2021-04-26,8666,2007235810105,1
2021-04-26,8666,2007974110108,1
2021-04-26,8666,2007140614102,1
2021-04-26,8666,0200041021,2
2021-04-26,8666,2009498310101,1
